experiment,group,path_name,path_type,synthetic_path,vegsystemreferanse,kommune,path_length_m,num_waypoints,path_max_abs_kappa,path_mean_abs_kappa,ctrl_model,plant_model,mu_ctrl,mu_plant,stiffness_scale_ctrl,stiffness_scale_plant,vx_nominal,vx_min,vx_max,ay_max,N,dt,sim_time,failed,error,rms_ey_m,max_abs_ey_m,p95_abs_ey_m,iae_ey_m_s,rms_epsi_deg,max_abs_epsi_deg,iae_epsi_rad_s,iae_epsi_deg_s,max_abs_delta_deg,rms_delta_deg,max_abs_ddelta_deg_s,rms_ddelta_deg_s,iadc_rad,iadc_deg,mean_cnxte,p95_cnxte,max_cnxte,mean_abs_kappa,max_abs_kappa,mean_vx_m_s,min_vx_m_s,max_vx_m_s,duration_s,progress_m,completion_pct,avg_solve_ms,max_solve_ms,avg_ipopt_iter,max_ipopt_iter,hard_failures,soft_warnings,max_abs_vy_m_s,max_abs_r_rad_s,mean_ay_demand_m_s2,max_ay_demand_m_s2,mu_g_plant_m_s2,max_ay_over_mu_g,wall_time_s
verification_straight_dugoff_dugoff_v7_mu08,verification,SYNTHETIC_straight,synthetic,straight,KV1253,3201,120.0,13,0.0,0.0,dugoff,dugoff,0.8,0.8,1.0,1.0,7.0,3.0,10.0,1.5,18,0.1,80.0,False,,0.006424587906422656,0.03939334234940393,0.004822797229555963,0.02338257118371749,0.22233666968793078,1.928543182853571,0.012205674365724773,0.6993336272670475,2.262875854838468,0.3289068888615479,16.726499636032322,1.5982261529204997,0.0784483046192352,4.494756764638818,0.0,0.0,0.0,0.0,0.0,7.0,7.0,7.0,16.7,117.59965441555958,97.99971201296631,4.973122811255355,7.094847969710827,4.630952380952381,5,0,0,0.10462770752590175,0.09230054098495113,0.0,0.0,7.848000000000001,0.0,1.2841561045497656
verification_constant_radius_dugoff_dugoff_v7_mu08,verification,SYNTHETIC_constant_radius,synthetic,constant_radius,KV1253,3201,54.96221575092156,20,0.0360232533502601,0.027430206951959628,dugoff,dugoff,0.8,0.8,1.0,1.0,7.0,3.0,10.0,1.5,18,0.1,80.0,False,,0.012581404924893494,0.04924445592138045,0.03755308412412623,0.03898317163605506,1.914958856313701,2.7317252110434005,0.2440586493954038,13.98353056401972,5.090234855686968,4.429946662461002,11.797068819698548,2.9851718450388534,0.13677310517197078,7.836521677252857,0.00015426473522978676,0.0009009623547181059,0.0016776707616290003,0.028468715490755248,0.035038036254792744,6.978254150454841,6.544406237013291,7.0,7.4,52.367543859352985,95.27917159794441,3.9190262059370675,5.090547725558281,3.013333333333333,4,0,0,0.2584911219100214,0.22371643059669,1.3852274805314122,1.6615001685080082,7.848000000000001,0.2117100112777788,0.4800340849906206
verification_mild_dugoff_dugoff_v7_mu08,verification,SYNTHETIC_mild,synthetic,mild,KV1253,3201,122.48238558408362,9,0.017801700057384892,0.011796985119802181,dugoff,dugoff,0.8,0.8,1.0,1.0,7.0,3.0,10.0,1.5,18,0.1,80.0,False,,0.006429918748160671,0.03934718155209706,0.004466603856859734,0.03834980369869527,0.8977165823840916,1.929275791578882,0.24767393408905436,14.190671118704142,2.8056270051826715,2.0993330812170177,16.555028896058452,2.0229907386670822,0.32379019680814114,18.551811724816787,1.4948945798185616e-05,4.300705844794733e-05,0.000122383966041995,0.012091961021079347,0.01779260212499522,7.0,7.0,7.0,17.0,119.71391967478783,97.73970281841446,3.8627172705897115,4.782292060554028,3.0292397660818713,4,0,0,0.14368375024658958,0.12386517254494295,0.5925060900328879,0.8718375041247658,7.848000000000001,0.11109040572435852,0.8700312850996852
geometry_mild_dugoff_pacejka_v7_mu08,geometry,SYNTHETIC_mild,synthetic,mild,KV1253,3201,122.48238558408362,9,0.017801700057384892,0.011796985119802181,dugoff,pacejka,0.8,0.8,1.0,1.0,7.0,3.0,10.0,1.5,18,0.1,80.0,False,,0.006453878368301785,0.039501545249145245,0.004495535734801459,0.038525452257122776,0.8973057475410248,1.9292986358561661,0.2475689245051585,14.184654512738485,2.8054447621485807,2.0993994226388555,16.555028896058452,2.0249430533191166,0.323979454895736,18.562655414474687,1.5058370176458174e-05,4.2817023847798756e-05,0.00012297000392548328,0.012091967193198438,0.01779259944136399,7.0,7.0,7.0,17.0,119.71386269464907,97.73965629732615,3.8219469909866652,4.959674552083015,3.0292397660818713,4,0,0,0.14356276238752297,0.12386771787939098,0.5925063924667235,0.8718373726268355,7.848000000000001,0.11109038896876088,0.8576243855059147
geometry_sharp_dugoff_pacejka_v7_mu08,geometry,SYNTHETIC_sharp,synthetic,sharp,KV1253,3201,123.48566002864902,10,0.1406654429257711,0.031104834029031112,dugoff,pacejka,0.8,0.8,1.0,1.0,7.0,3.0,10.0,1.5,18,0.1,80.0,False,,0.012677729257440226,0.045264961586506516,0.03545267405368982,0.14472539735930043,3.8020034682390276,10.754446470486926,0.9506889786141723,54.470466104195054,19.589054479318342,7.719809986043778,26.734403662685487,6.044618720718212,1.4139850728300378,81.01537696765949,0.00048334390707226085,0.003473127457372078,0.006140919000599119,0.03803670408260664,0.1404241950644856,6.143727160727751,3.2683231514735347,7.0,19.5,120.62360754819747,97.68227948104456,7.415880786483081,108.15464239567518,6.357142857142857,99,0,0,0.5556752129728996,0.47397395337713977,1.0748822171099166,1.7367373713580823,7.848000000000001,0.2212968108254437,1.659678265452385
geometry_s_curve_dugoff_pacejka_v7_mu08,geometry,SYNTHETIC_s_curve,synthetic,s_curve,KV1253,3201,132.2117814289874,9,0.097189418125541,0.025800280309202457,dugoff,pacejka,0.8,0.8,1.0,1.0,7.0,3.0,10.0,1.5,18,0.1,80.0,False,,0.007645553440678355,0.03925580428946886,0.011741034454195035,0.10064662276898108,3.0286649099161562,6.634335791828996,0.7967714096074257,45.65163900719486,13.697935689148512,6.42165501163764,18.56971633560941,4.698463392625924,1.3282930788323868,76.10558737353371,0.00017631875770105054,0.0007011669565252106,0.0008538012320498619,0.030996392543922672,0.09711718573070233,6.2755587472487875,3.9300804999988106,7.0,20.5,129.42276136371603,97.89049051822256,5.219532647034497,154.76216096431017,4.271844660194175,181,0,0,0.46198813946656403,0.33569604953614424,0.9263133738691697,1.717976121707303,7.848000000000001,0.21890623365281636,1.3072203947231174
geometry_KV1253_dugoff_pacejka_v7_mu08,geometry,NVDB_KV1253,nvdb,,KV1253,3201,304.63977570665634,61,0.053820836975098825,0.007269112051653409,dugoff,pacejka,0.8,0.8,1.0,1.0,7.0,3.0,10.0,1.5,18,0.1,80.0,False,,0.01055154207226753,0.04165673974572171,0.0250077819211253,0.2877341335929105,0.6540651143458824,2.6190255514895076,0.3305941308354592,18.94164842866756,6.424817385564278,1.1648556213076597,31.906766058307905,3.5484312435649743,1.6925318125472844,96.97492955058678,0.00010294300031061383,0.000614574289614181,0.0017587726394929226,0.007452934787101996,0.05184382485096977,6.970613237177516,5.390164695739753,7.0,43.2,301.85631057428844,99.0863093547416,3.9457115032828436,6.233871914446354,3.0184757505773674,5,0,0,0.29259012726946615,0.23244492540159395,0.3512697059563622,2.173829251723565,7.848000000000001,0.2769914948679364,2.18674751278013
geometry_KV1167_dugoff_pacejka_v7_mu08,geometry,NVDB_KV1167,nvdb,,KV1167,3201,500.47253726483416,90,0.08781858111982094,0.012128119280210702,dugoff,pacejka,0.8,0.8,1.0,1.0,7.0,3.0,10.0,1.5,18,0.1,80.0,False,,0.012327040831974126,0.05513386652749687,0.028566989859341044,0.5920053328674908,1.1681078132479432,5.671193267951364,1.0198038457431071,58.43045629229048,11.697476067861336,2.4081685090101437,20.108498824501133,4.087879873639661,3.828147811721473,219.3367129638821,0.00015990692473006511,0.0008744960352871109,0.0022988030149334354,0.012740666542851345,0.08726073592493619,6.907598083908939,4.146512585169023,7.0,72.0,498.16618379205926,99.53916482902747,3.8228358081367575,7.20930565148592,3.0360610263522885,6,0,0,0.4303115470392934,0.3204579501013848,0.5626785479521736,2.281938034119496,7.848000000000001,0.29076682391940567,3.2648821575567126
tiremodel_KV1167_linear_linear_v7_mu08,tire_model,NVDB_KV1167,nvdb,,KV1167,3201,500.47253726483416,90,0.08781858111982094,0.012128119280210702,linear,linear,0.8,0.8,1.0,1.0,7.0,3.0,10.0,1.5,18,0.1,80.0,False,,0.012158865629156312,0.055134648933240715,0.02862897255387572,0.5834562123770893,1.1029520062442761,5.01648637878983,1.002824500545571,57.45761147357594,10.31941272132837,2.3341160836390773,22.5137455079138,4.140411112423648,3.7919411633781386,217.2622248234947,0.00015888155675442488,0.000882051417828878,0.0023502400570578337,0.0127407289639913,0.08725842921017533,6.907586481470978,4.146568971232971,7.0,72.0,498.1628650183597,99.53850170099298,3.2559159120103027,4.593207500874996,3.027739251040222,4,0,0,0.5506146699835316,0.447456431144565,0.5626678000301089,2.2892258650984734,7.848000000000001,0.29169544662314895,2.588197186589241
tiremodel_KV1167_dugoff_dugoff_v7_mu08,tire_model,NVDB_KV1167,nvdb,,KV1167,3201,500.47253726483416,90,0.08781858111982094,0.012128119280210702,dugoff,dugoff,0.8,0.8,1.0,1.0,7.0,3.0,10.0,1.5,18,0.1,80.0,False,,0.012370032375787076,0.0551338579546791,0.02849432115669952,0.5944947885288381,1.1675114515242593,5.65639650257128,1.0199631744207074,58.43958515307238,11.729220259522878,2.408015180071388,20.249920987533766,4.084197650173965,3.8262935484187173,219.23047150252822,0.0001616130156125264,0.0008794483118081831,0.00230862872697201,0.012740748916908658,0.08726168282603751,6.90759625404598,4.146489438819523,7.0,72.0,498.167039794677,99.53933586790654,3.8963379260881106,7.221038453280926,3.030513176144244,6,0,0,0.42125821744135744,0.3152357900957846,0.5626807462989636,2.2805617555627804,7.848000000000001,0.29059145713083334,3.1576516842469573
tiremodel_KV1167_linear_pacejka_v7_mu08,tire_model,NVDB_KV1167,nvdb,,KV1167,3201,500.47253726483416,90,0.08781858111982094,0.012128119280210702,linear,pacejka,0.8,0.8,1.0,1.0,7.0,3.0,10.0,1.5,18,0.1,80.0,False,,0.012853132187696369,0.05513465567081895,0.029120977323074414,0.6119241896414318,1.1755131168915176,6.095325596080058,1.0243203463018158,58.689232712472965,11.702479726780627,2.4092080532165245,21.834663694943487,4.278176431645521,3.8813786291435,222.3866141421957,0.0001843780257327123,0.0009180866264625182,0.004566738148198131,0.012740940255523619,0.08729368883860834,6.9076009465757116,4.145707073742503,7.0,72.0,498.1703856543627,99.54000440802345,3.269736917273512,4.437415860593319,3.0332871012482663,4,0,0,0.4741830143852516,0.3443163567923637,0.5626931941046677,2.2732043528985195,7.848000000000001,0.28965396953345046,2.611790595576167
tiremodel_KV1167_dugoff_pacejka_v7_mu08,tire_model,NVDB_KV1167,nvdb,,KV1167,3201,500.47253726483416,90,0.08781858111982094,0.012128119280210702,dugoff,pacejka,0.8,0.8,1.0,1.0,7.0,3.0,10.0,1.5,18,0.1,80.0,False,,0.012327040831974126,0.05513386652749687,0.028566989859341044,0.5920053328674908,1.1681078132479432,5.671193267951364,1.0198038457431071,58.43045629229048,11.697476067861336,2.4081685090101437,20.108498824501133,4.087879873639661,3.828147811721473,219.3367129638821,0.00015990692473006511,0.0008744960352871109,0.0022988030149334354,0.012740666542851345,0.08726073592493619,6.907598083908939,4.146512585169023,7.0,72.0,498.16618379205926,99.53916482902747,3.8322384486003327,7.342388853430748,3.0360610263522885,6,0,0,0.4303115470392934,0.3204579501013848,0.5626785479521736,2.281938034119496,7.848000000000001,0.29076682391940567,3.084166898392141
speed_KV1167_dugoff_pacejka_v3_mu08,speed,NVDB_KV1167,nvdb,,KV1167,3201,500.47253726483416,90,0.08781858111982094,0.012128119280210702,dugoff,pacejka,0.8,0.8,1.0,1.0,3.0,3.0,10.0,1.5,18,0.1,80.0,False,,0.23800431489877794,0.8464769231465163,0.5355786051121688,13.786628467966601,4.008611170284897,12.429402321425474,4.60525197292163,263.8615016427051,21.28816064072319,5.412956687647679,40.000000573632875,21.838390456208487,20.796182020128537,1191.5334597392116,0.0020320343621990384,0.005636570226409588,0.02590893707106647,0.014079996252148987,0.08737574919971117,3.0,3.0,3.0,79.9,239.70579335839264,47.89589348267235,314.9813035390629,1591.2405559793115,255.1264367816092,1199.0,452,0,0.49986793712790417,0.3882438848179278,0.1267199662693409,0.7863817427974005,7.848000000000001,0.10020154724737518,535.7447994500399
speed_KV1167_dugoff_pacejka_v5_mu08,speed,NVDB_KV1167,nvdb,,KV1167,3201,500.47253726483416,90,0.08781858111982094,0.012128119280210702,dugoff,pacejka,0.8,0.8,1.0,1.0,5.0,3.0,10.0,1.5,18,0.1,80.0,False,,0.008326634400307092,0.0379329455773536,0.018076856071392634,0.44915699341452786,1.2023000520655966,5.7303882633471614,1.1843295632629367,67.8570855275383,11.663980758590972,2.3647578616722353,20.787418754374805,3.4452885299931433,3.5006750309821424,200.57390472210545,0.0001085460959558685,0.0005602000510630564,0.0015481446349913917,0.012433997971974342,0.08602572502125212,4.993639459866892,4.176701581647205,5.0,79.9,399.6008067231923,79.84470215030726,4.122446719557047,19.2030081525445,3.20125,17,0,0,0.4601524696229836,0.3045154058485934,0.30623048981006795,1.6107398598699112,7.848000000000001,0.2052420820425473,3.6486102724447846
speed_KV1167_dugoff_pacejka_v7_mu08,speed,NVDB_KV1167,nvdb,,KV1167,3201,500.47253726483416,90,0.08781858111982094,0.012128119280210702,dugoff,pacejka,0.8,0.8,1.0,1.0,7.0,3.0,10.0,1.5,18,0.1,80.0,False,,0.012327040831974126,0.05513386652749687,0.028566989859341044,0.5920053328674908,1.1681078132479432,5.671193267951364,1.0198038457431071,58.43045629229048,11.697476067861336,2.4081685090101437,20.108498824501133,4.087879873639661,3.828147811721473,219.3367129638821,0.00015990692473006511,0.0008744960352871109,0.0022988030149334354,0.012740666542851345,0.08726073592493619,6.907598083908939,4.146512585169023,7.0,72.0,498.16618379205926,99.53916482902747,3.8496643142069424,7.141496986150742,3.0360610263522885,6,0,0,0.4303115470392934,0.3204579501013848,0.5626785479521736,2.281938034119496,7.848000000000001,0.29076682391940567,3.102533658966422
speed_KV1167_dugoff_pacejka_v10_mu08,speed,NVDB_KV1167,nvdb,,KV1167,3201,500.47253726483416,90,0.08781858111982094,0.012128119280210702,dugoff,pacejka,0.8,0.8,1.0,1.0,10.0,3.0,10.0,1.5,18,0.1,80.0,False,,0.01740003055292088,0.06935200716052159,0.036273934821385814,0.6646688276291876,1.216412921522334,5.679218070226306,0.7541021392347731,43.206869899939264,11.729122063625043,2.6281276988420323,21.520231112993407,5.218071735341863,3.726165196900091,213.4935395509086,0.000250810786636534,0.0012096302135573861,0.0032871074598231505,0.014167670568096691,0.08587424601404893,9.206752611636214,4.18171686966211,10.0,54.0,498.2174473459088,99.5494078593703,3.9480758500380126,20.37848997861147,3.1497227356746764,19,0,0,0.4174268154679675,0.3229563666217795,0.9563888410394399,4.330709653986741,7.848000000000001,0.5518233504060577,2.420438900589943
friction_KV1167_dugoff_pacejka_v7_muplant0.8,friction,NVDB_KV1167,nvdb,,KV1167,3201,500.47253726483416,90,0.08781858111982094,0.012128119280210702,dugoff,pacejka,0.8,0.8,1.0,1.0,7.0,3.0,10.0,1.5,18,0.1,80.0,False,,0.012327040831974126,0.05513386652749687,0.028566989859341044,0.5920053328674908,1.1681078132479432,5.671193267951364,1.0198038457431071,58.43045629229048,11.697476067861336,2.4081685090101437,20.108498824501133,4.087879873639661,3.828147811721473,219.3367129638821,0.00015990692473006511,0.0008744960352871109,0.0022988030149334354,0.012740666542851345,0.08726073592493619,6.907598083908939,4.146512585169023,7.0,72.0,498.16618379205926,99.53916482902747,3.8661819194209723,7.207396440207958,3.0360610263522885,6,0,0,0.4303115470392934,0.3204579501013848,0.5626785479521736,2.281938034119496,7.848000000000001,0.29076682391940567,3.1112914187833667
friction_KV1167_dugoff_pacejka_v7_muplant0.6,friction,NVDB_KV1167,nvdb,,KV1167,3201,500.47253726483416,90,0.08781858111982094,0.012128119280210702,dugoff,pacejka,0.8,0.6,1.0,1.0,7.0,3.0,10.0,1.5,18,0.1,80.0,False,,0.012328855102318539,0.055133740838799725,0.028610770300898317,0.5921562382184888,1.1716435743084088,5.7422581597191575,1.0204657934375794,58.46838310144216,11.7168626109274,2.4134277303040355,20.802707233372082,4.096741538735546,3.832253301100317,219.57194017812563,0.00016027668010394877,0.0008771729366360227,0.0022911914352458473,0.012740620144399544,0.08726145816314804,6.907600118944293,4.146494930550129,7.0,72.0,498.16599516277074,99.53912713878985,3.8989217481711536,7.787895388901234,3.0332871012482663,6,0,0,0.4221474662668101,0.32687874809686057,0.562678227486306,2.28200457039692,5.886,0.3877004027177914,3.1417735032737255
friction_KV1167_dugoff_pacejka_v7_muplant0.4,friction,NVDB_KV1167,nvdb,,KV1167,3201,500.47253726483416,90,0.08781858111982094,0.012128119280210702,dugoff,pacejka,0.8,0.4,1.0,1.0,7.0,3.0,10.0,1.5,18,0.1,80.0,False,,0.012308642239558135,0.05513268905249477,0.02870590470418128,0.5910985076620685,1.1757176328879768,5.887889964594847,1.0206984293445314,58.48171215707371,11.54649437532102,2.41593460132372,22.87270070762949,4.121843801613088,3.8388293441810672,219.94871969254885,0.0001604798078223889,0.0008705729752209467,0.0022669987118393896,0.012740498651746786,0.08726317501146826,6.907604655646048,4.146452963367704,7.0,72.0,498.1651067949625,99.53894963298444,3.9083488019449373,8.313274011015892,3.0471567267683772,8,0,0,0.43503799907181473,0.3422253177800228,0.5626764319523563,2.28286387857451,3.9240000000000004,0.5817695918895285,3.1526619410142303
friction_KV1167_dugoff_pacejka_v7_muplant0.3,friction,NVDB_KV1167,nvdb,,KV1167,3201,500.47253726483416,90,0.08781858111982094,0.012128119280210702,dugoff,pacejka,0.8,0.3,1.0,1.0,7.0,3.0,10.0,1.5,18,0.1,80.0,False,,0.012334534442887091,0.05512933573337271,0.02834426826583203,0.5915012040670526,1.174139190209729,5.88836384728644,1.0189174027049273,58.37966684742402,11.714630071782972,2.416123860412479,26.312086302340823,4.171699405041664,3.870304280429935,221.75210070005227,0.0001630190357067125,0.0008541189709046696,0.002226739237694656,0.012740374689951596,0.0872679733918409,6.90761112241033,4.14633567024281,7.0,72.0,498.1644616093892,99.53882071770431,3.88237488573616,19.432617351412773,3.0762829403606102,17,0,0,0.4407462461953188,0.34256250992270765,0.5626758061327519,2.28268778237694,2.943,0.7756329535769418,3.1196098439395428
stiffness_KV1167_dugoff_pacejka_v7_scaleplant0.7,stiffness,NVDB_KV1167,nvdb,,KV1167,3201,500.47253726483416,90,0.08781858111982094,0.012128119280210702,dugoff,pacejka,0.8,0.8,1.0,0.7,7.0,3.0,10.0,1.5,18,0.1,80.0,False,,0.011613415762979574,0.05537866737520056,0.025640276592152015,0.5628156894868492,1.1368181103306492,5.454314913397446,0.9786474288890391,56.072367306671296,13.065954613234979,2.5017477757349047,23.406028595500885,4.5183219200346585,4.2732788150247965,244.84084078358643,0.00013257823323741972,0.0006414787539936023,0.0019308823043129135,0.012737246901568642,0.08722323680527745,6.907710458799221,4.147429225490121,7.0,72.0,498.12876250487375,99.53168763809309,3.884875285342315,31.959444284439087,3.08876560332871,30,0,0,0.4449443926299512,0.3341580161286039,0.5626032614051738,2.31074884280446,7.848000000000001,0.2944379259434836,3.1233436707407236
stiffness_KV1167_dugoff_pacejka_v7_scaleplant1.0,stiffness,NVDB_KV1167,nvdb,,KV1167,3201,500.47253726483416,90,0.08781858111982094,0.012128119280210702,dugoff,pacejka,0.8,0.8,1.0,1.0,7.0,3.0,10.0,1.5,18,0.1,80.0,False,,0.012327040831974126,0.05513386652749687,0.028566989859341044,0.5920053328674908,1.1681078132479432,5.671193267951364,1.0198038457431071,58.43045629229048,11.697476067861336,2.4081685090101437,20.108498824501133,4.087879873639661,3.828147811721473,219.3367129638821,0.00015990692473006511,0.0008744960352871109,0.0022988030149334354,0.012740666542851345,0.08726073592493619,6.907598083908939,4.146512585169023,7.0,72.0,498.16618379205926,99.53916482902747,3.977543031138041,7.665235549211502,3.0360610263522885,6,0,0,0.4303115470392934,0.3204579501013848,0.5626785479521736,2.281938034119496,7.848000000000001,0.29076682391940567,3.209643038921058
stiffness_KV1167_dugoff_pacejka_v7_scaleplant1.3,stiffness,NVDB_KV1167,nvdb,,KV1167,3201,500.47253726483416,90,0.08781858111982094,0.012128119280210702,dugoff,pacejka,0.8,0.8,1.0,1.3,7.0,3.0,10.0,1.5,18,0.1,80.0,False,,0.013820245806798387,0.05475637550647446,0.030409674277159623,0.7048250569108419,1.1706962468524458,5.433544378832393,1.0407207823066478,59.62890847772424,11.55681710631994,2.3646952291090226,20.440626693913423,3.9356332749588656,3.6590163284901127,209.6461927919375,0.000189121151860665,0.0009572070789191157,0.0024447997113070416,0.012759783658947418,0.08726422273834564,6.907413804552974,4.146427352401098,7.0,71.9,497.48373622248533,99.40280418608319,4.192693849715093,8.403334766626358,3.0347222222222223,7,0,0,0.39920385184591944,0.28972222284883037,0.5634836129213904,2.270445072010924,7.848000000000001,0.2893023792062849,3.3994954396039248
solver_KV1167_dugoff_pacejka_N12,solver,NVDB_KV1167,nvdb,,KV1167,3201,500.47253726483416,90,0.08781858111982094,0.012128119280210702,dugoff,pacejka,0.8,0.8,1.0,1.0,7.0,3.0,10.0,1.5,12,0.1,80.0,False,,0.012168257727947794,0.05530909685549331,0.026728498147749934,0.5900032878506244,1.1920120745456335,5.805995938818713,1.0394737342577378,59.557457887671674,11.675182150120685,2.409717027667941,20.101911753129944,4.148554570139743,3.877007062670413,222.13614183342693,0.00018362715752928273,0.001017968304701767,0.0023181262637829744,0.012759362222758456,0.0872988528001949,6.907444431177007,4.145580844234986,7.0,71.9,497.4790635684747,99.40187053764843,3.1726052971660264,6.52835238724947,3.025,7,0,0,0.4265836678903972,0.32216459746076515,0.5634821768929845,2.265653053576726,7.848000000000001,0.2886917754302658,2.5567510090768337
solver_KV1167_dugoff_pacejka_N18,solver,NVDB_KV1167,nvdb,,KV1167,3201,500.47253726483416,90,0.08781858111982094,0.012128119280210702,dugoff,pacejka,0.8,0.8,1.0,1.0,7.0,3.0,10.0,1.5,18,0.1,80.0,False,,0.012327040831974126,0.05513386652749687,0.028566989859341044,0.5920053328674908,1.1681078132479432,5.671193267951364,1.0198038457431071,58.43045629229048,11.697476067861336,2.4081685090101437,20.108498824501133,4.087879873639661,3.828147811721473,219.3367129638821,0.00015990692473006511,0.0008744960352871109,0.0022988030149334354,0.012740666542851345,0.08726073592493619,6.907598083908939,4.146512585169023,7.0,72.0,498.16618379205926,99.53916482902747,3.773895961629038,7.5128329917788506,3.0360610263522885,6,0,0,0.4303115470392934,0.3204579501013848,0.5626785479521736,2.281938034119496,7.848000000000001,0.29076682391940567,3.0287041952833533
solver_KV1167_dugoff_pacejka_N25,solver,NVDB_KV1167,nvdb,,KV1167,3201,500.47253726483416,90,0.08781858111982094,0.012128119280210702,dugoff,pacejka,0.8,0.8,1.0,1.0,7.0,3.0,10.0,1.5,25,0.1,80.0,False,,0.012389630403546894,0.055252027764399685,0.029340717971476082,0.5923018574485222,1.1664701017365375,5.659379142387445,1.0189024372045612,58.37880938741475,11.68924279072252,2.4080911483265455,20.052001419644707,4.081476262183737,3.822146507156624,218.99286354074366,0.00016020131879535275,0.0008821021426709917,0.002328239016057427,0.012740643235280819,0.08725852800422763,6.907598126411102,4.1465665562799625,7.0,72.0,498.16612946556205,99.53915397398686,4.680191666590523,9.027035906910896,3.0332871012482663,6,0,0,0.430201317922764,0.32048106053360886,0.5626778095806805,2.2824737870194296,7.848000000000001,0.290835090089122,3.7664092164486647
